Id,PostHistoryTypeId,PostId,RevisionGUID,Edit_TimeStamp,UserId,Edit_Comment
3541,2,3071,d41a71a9-a08e-4829-b680-ce170f0b442e,2008-08-06T03:57:17,363,NA
44835548,5,3071,0e872c96-f5e2-4cad-acac-00b2576e114e,2013-08-05T09:28:17,387076,copy editing
139038401,5,3071,b6118a93-b149-45f2-827b-98ffa289b7d9,2017-02-22T18:10:18,68707,Use best-practice PEP 8 naming conventions
8074,2,6700,81edf86b-01cd-4e89-806b-e4657a3a086c,2008-08-09T08:31:05,,NA
54878182,5,6700,d575323e-e7c5-423c-b5f1-3e6b54c1879b,2014-01-04T02:51:01,1442987,Providing link to SO question on why Object.prototype is a bad idea.
54878183,24,6700,d575323e-e7c5-423c-b5f1-3e6b54c1879b,2014-01-04T02:51:01,,"Proposed by 1442987 approved by 149436, 2998271, 1649198 edit id of 1068534"
111942291,5,6700,558a46e8-f6d3-4e6a-8aac-ab08df20c1ac,2016-02-28T00:55:32,816620,added 348 characters in body
124310585,5,6700,df1f134b-255f-4eb4-a3f0-f523f6535f32,2016-08-06T00:25:39,2301224,link to browser support of ES5 and Object.keys static method
124310586,24,6700,df1f134b-255f-4eb4-a3f0-f523f6535f32,2016-08-06T00:25:39,,"Proposed by 2301224 approved by 2913306, 513392, 3555000 edit id of 2654597"
146657095,5,6700,3b6e6a0e-a356-4c72-b945-1c640f6c0fd4,2017-05-23T11:55:18,-1,replaced http://stackoverflow.com/ with https://stackoverflow.com/
173490456,5,6700,bb71d20b-9891-411f-a1d2-97c15aebc211,2018-05-15T21:48:11,9420365,Objects can have symbolic properties which can not be returned via Object.key method
173490457,24,6700,bb71d20b-9891-411f-a1d2-97c15aebc211,2018-05-15T21:48:11,,"Proposed by 9420365 approved by 4245525, 4320693 edit id of 3719242"
650685,2,25486,d90be033-8f9b-4195-9fb4-39ac2119bddf,2008-08-25T00:11:44,1,NA
650686,5,25486,f5446a36-21ad-4dcc-992d-dd50d00fff2d,2008-12-30T09:19:18,1,new version
4480001,5,25486,96945db4-3710-43e4-a8c8-cc6fae8be281,2010-02-06T21:37:11,16587,"The ""entityRegex"" not needed for this code snippet."
11334915,5,25486,2c16230b-f2fd-4deb-a9ea-c872fe9dbebd,2011-03-15T03:11:36,1,added 735 characters in body
18275196,5,25486,4ccda502-6bb2-4afe-bc0f-f7aea209a31c,2011-11-18T20:19:14,50776,added 27 characters in body
54403708,5,25486,bb68a70c-2171-43a5-9f46-07ad33f146b6,2013-12-26T18:33:01,1316620,Added RemapInternationalCharToAscii source code link
54403709,24,25486,bb68a70c-2171-43a5-9f46-07ad33f146b6,2013-12-26T18:33:01,,"Proposed by 1316620 approved by 411918, 2498113, 1599260 edit id of 1054048"
63622696,5,25486,d901bc99-aba3-4b91-bbdc-0eefbc99f105,2014-04-24T14:02:00,-1,Migration of MSO links to MSE links
141057142,5,25486,5549946b-db49-4445-8f23-669744672aa6,2017-03-20T10:29:34,-1,replaced http://meta.stackexchange.com/ with https://meta.stackexchange.com/
47122,2,34658,d1046b3d-baf1-42cb-b1c4-b50105dc539f,2008-08-29T16:35:12,3087,NA
47123,5,34658,d76da3b9-9df6-48e7-b991-204066b9da98,2008-08-29T16:40:13,3087,added 193 characters in body
47124,5,34658,7b342a95-34db-4115-a7cb-5363f0cd5dcb,2008-08-29T16:49:02,3087,deleted 4 characters in body
33776874,5,34658,cb138f73-268e-4432-b862-dc943346ba7b,2012-12-29T09:49:50,63550,Copy edited.
38913884,16,34658,2b337e1c-45ec-4638-bc4d-e2e796b3d4bf,2013-04-10T20:46:29,1104885,NA
87646364,5,34658,6f19a873-03b4-4394-b3e3-e832a1b187c9,2015-04-08T14:02:10,1296783,added 34 characters in body
162781975,5,34658,7ddc31db-280f-453f-a878-4288628de7da,2017-12-14T12:18:37,545127,Question generalised not to be Java specific.
162805628,5,34658,10488f85-0a2f-4887-b1e5-015bf0535f5d,2017-12-14T17:14:57,545127,Deflect C/C++ readers early.
48032,2,35314,b7782871-e05d-4269-805d-42dbfddc8520,2008-08-29T21:17:18,91,NA
2218177,5,35314,674d5144-f7f8-43a7-ba39-60cc5ad0b381,2009-07-16T08:05:54,91,minor typos
4190327,5,35314,fd63580a-82e2-420a-be21-a361c1a87031,2010-01-16T22:47:30,91,added 447 characters in body
139936423,5,35314,455f0e7f-a52f-41f3-ae6c-0c8848da8862,2017-03-06T08:33:09,1667619,"fixed typo, due to OCD reasons and readability"
139936424,24,35314,455f0e7f-a52f-41f3-ae6c-0c8848da8862,2017-03-06T08:33:09,,"Proposed by 1667619 approved by 6428638, 765395, 833070 edit id of 3009374"
163886231,5,35314,0ce35e4f-0a50-4196-bca1-ab53418ad304,2018-01-03T03:35:11,3509591,added 2 characters in body
55160,2,38578,90f398bf-da84-499c-b67b-a5896625da6b,2008-09-01T22:59:35,116,NA
55161,5,38578,cd3872f2-028c-4f8a-a5d6-0c7c1102195d,2008-09-02T04:29:35,116,added 64 characters in body
55162,5,38578,bca1f14f-c3e0-4924-9f3a-4c954cc55867,2008-09-02T06:51:32,116,NA
55163,5,38578,e4e148c4-9199-46bc-b35e-43aace5c0312,2008-09-02T15:23:38,116,deleted 64 characters in body
20295781,5,38578,21f456d2-aad8-40d5-a00e-b0280f945019,2012-01-23T16:07:15,18511,added right and cross join info
20453547,8,38578,b6420fbf-9dcd-4203-a54d-cdaf67ce0c5f,2012-01-27T17:25:37,116,Rollback to [e4e148c4-9199-46bc-b35e-43aace5c0312]
22080177,5,38578,f12d3328-d616-4a3b-80b2-c59c328b193c,2012-03-12T18:18:04,63550,Proper casing of subsection titles.
68170872,5,38578,35ebf0ff-11f5-4390-aa37-b51fe94ac146,2014-06-27T08:14:04,1593077,The question of whether it's more common that not to have no dupes in a column doesn't need to be decided here.
77922363,5,38578,6306d63e-4df7-4961-ac02-4b559c325e48,2014-11-18T13:08:08,4265391,All types of join are covered 
77922364,24,38578,6306d63e-4df7-4961-ac02-4b559c325e48,2014-11-18T13:08:08,,"Proposed by 4265391 approved by 525179, 544825, 546060 edit id of 1609983"
78390004,5,38578,fd2d6ee1-61d6-4872-9ab6-2003d68a99ac,2014-11-25T01:52:13,116,better to remain brief.
83066856,5,38578,a16cf96d-52a3-41a2-8e88-d033c95b4d6f,2015-02-04T18:37:00,63550,Copy edited (e.g. ref. <http://en.wikipedia.org/wiki/Venn_diagram>).
101685318,5,38578,d5303e0b-5aef-4c85-a9ff-68bd36098756,2015-10-13T06:27:31,2542645,added example of right outer join
101685319,24,38578,d5303e0b-5aef-4c85-a9ff-68bd36098756,2015-10-13T06:27:31,,"Proposed by 2542645 approved by 183181, 546822, 563878 edit id of 2131778"
105406388,5,38578,2530e076-2b2a-446b-95cf-dea1d286610f,2015-12-01T22:02:57,3120408,added a link to Wikipedia article about Venn diagram where it is mentioned in the answer for the first time and removed this link from it's others appearance
105406389,24,38578,2530e076-2b2a-446b-95cf-dea1d286610f,2015-12-01T22:02:57,,"Proposed by 3120408 approved by 197532, 156, 371184 edit id of 2212986"
157230373,5,38578,bf9ffabb-fa3b-4234-8f25-cd7d47bffb24,2017-09-28T19:52:04,5441,added 3 characters in body
58450,2,41156,b926101e-baab-4a9b-ab86-b4c7ca5909d5,2008-09-03T04:04:25,3474,NA
58451,5,41156,05bb15c6-a1fc-4245-80aa-b4aa7d1b5371,2008-09-03T16:06:40,3474,Contribute a solution suitable for secure session identifiers.
11675206,5,41156,825f98c1-77c7-4270-b256-2d78adc037fb,2011-03-27T15:55:15,187141,missed import
44479917,16,41156,c89fec6a-b82d-4b0a-b516-b0c60b66e51d,2013-07-29T14:07:24,2630572,NA
54145111,5,41156,6d24bb16-c5bd-4672-98e5-46e9173fc4a7,2013-12-21T15:17:10,256196,consistent terser bracket positions. removed obvious import statements
62614630,5,41156,04605dc0-ff7d-4f66-8501-4326f17d25bf,2014-04-10T23:31:39,3474,added 43 characters in body
64169793,5,41156,99aeb90e-fc13-47ee-aad2-deffa3be9d73,2014-05-01T17:38:17,3474,Added an explanation of secure session identifier generation as requested in comment.
71991199,5,41156,0c0819d4-51fd-43d7-84c6-855db48b6fb5,2014-08-22T11:51:41,1237575,Improved the RandomString example as this is a popular answer and the code might be copy-pasted.
71991907,5,41156,de2e5ada-dc5c-43cc-a806-fe6d9e44170c,2014-08-22T12:00:30,1237575,Made example code thread-safe.
72046296,8,41156,0baf625f-2282-4ca1-9546-c43d7bbae715,2014-08-23T06:36:08,3474,Rollback to [0c0819d4-51fd-43d7-84c6-855db48b6fb5]
72046338,5,41156,205a6465-95f0-495e-8463-ea9aae6f1036,2014-08-23T06:38:08,3474,edited body
91262093,5,41156,c7c3e531-fdb3-44d1-94ea-b6d3fbc6d88d,2015-05-25T13:12:08,4899609,Simplify code. This will be more flexible.
91262094,24,41156,c7c3e531-fdb3-44d1-94ea-b6d3fbc6d88d,2015-05-25T13:12:08,,"Proposed by 4899609 approved by 970200, 668240, 1551401 edit id of 1885407"
91288629,8,41156,a65b353d-3af4-4a3c-93ef-23aaabe1a8b8,2015-05-25T21:14:50,3474,Rollback to [205a6465-95f0-495e-8463-ea9aae6f1036]
109197132,5,41156,e0df76bb-62e7-4c35-8b5f-aff1b1158af3,2016-01-24T20:01:16,5832619,import BigInteger class
109197133,24,41156,e0df76bb-62e7-4c35-8b5f-aff1b1158af3,2016-01-24T20:01:16,,"Proposed by 5832619 approved by 4787126, 154510, 393805 edit id of 2302780"
148086821,5,41156,9b337558-2c8b-4092-91ea-7e199c9e754f,2017-05-28T12:48:35,507738,"Added braces where recommended; also changed prefix to postfix increment operator, because it's more familiar to most Java programmers."
154099056,8,41156,16950c88-a239-4cbf-8e43-976e5e3e1a3a,2017-08-16T17:35:18,3474,Rollback to [e0df76bb-62e7-4c35-8b5f-aff1b1158af3]
154104749,5,41156,78db9ae1-a08e-4de6-b5cb-d59df17e04fc,2017-08-16T19:15:26,3474,added 2003 characters in body
154110771,5,41156,18ebc42b-da4d-4823-b9f8-657f0184f597,2017-08-16T20:59:25,3474,added 2003 characters in body
154116741,5,41156,8069ee91-c786-4c8c-99b1-c3c3ecc01af2,2017-08-16T23:27:05,3474,added 155 characters in body
154117005,5,41156,bd3906ee-31e0-422c-9fd0-7d015f567fe5,2017-08-16T23:34:53,3474,added 155 characters in body
59909,2,42918,94d194e8-301a-4a77-afcd-e9237a198049,2008-09-04T00:33:45,4421,NA
23378044,5,42918,1f9f9240-a8df-4e11-bd3e-027eb59f627b,2012-04-17T14:51:11,142162,added 25 characters in body
25007013,5,42918,10d2a2a9-a5dc-4aa3-bd00-5b4c21739128,2012-05-30T22:22:38,4421,mention realpath
56527167,5,42918,340e7a98-51ba-4918-a505-fd29b509ed80,2014-01-26T16:29:23,351201,expand top answer from another‰Ûªs comment
102453098,5,42918,28419aea-7865-444f-9840-29a246d76bca,2015-10-22T22:46:52,45375,provided context and additional information
64711,2,46181,d26c93c4-04fc-4d11-a415-5ab4d61b3e75,2008-09-05T16:15:35,3880,NA
16684053,5,46181,f20aa193-cde4-46d2-b150-2b4363d29980,2011-09-25T09:18:02,313758,deleted 1 characters in body
19942733,5,46181,54ba9563-34bc-435c-adc2-f5d7fcc8a293,2012-01-12T12:27:38,11236,Add a live demo
45920438,5,46181,296e2e28-0791-48c2-a32e-5caa9e58e0cb,2013-08-24T20:41:41,63550,Copy edited.
47026537,16,46181,c0239e48-e790-4be5-9e2d-33ec826fa5b7,2013-09-11T02:21:40,79497,NA
56335028,5,46181,6f040a77-b298-4dfb-afca-48119c3bd60d,2014-01-23T17:01:50,1243679,"When copying pasting the function spaces on the regular expression give errors, I put it all together"
85388074,5,46181,f1041ee0-ec72-4671-8f0b-222b6923eb67,2015-03-09T00:34:07,353802,removed redundant character escapes
86784685,5,46181,2d6ea45e-0fbd-4007-bd53-20953d7242f5,2015-03-27T07:54:53,-1,We dont have use any special characters for this email address.
86784686,24,46181,2d6ea45e-0fbd-4007-bd53-20953d7242f5,2015-03-27T07:54:53,,"Proposed by 117.192.204.89|f66a268c-a5ab-4bb0-86c8-f31eb7ac4fa5 approved by 393021, 206265, 1031981 edit id of 1779315"
94729761,5,46181,1c488ec1-502c-4783-aa92-196d4afd3b2d,2015-07-09T17:27:02,817447,Add updated example regexp from demo that works for unicode email addresses.
105809163,8,46181,8bf66e13-f7d0-4408-b410-6ab0c8629a3b,2015-12-07T10:47:19,19746,Rollback to [2d6ea45e-0fbd-4007-bd53-20953d7242f5]
105809257,5,46181,3c5f74b7-7e6c-4ad9-b5ab-03280cfd4404,2015-12-07T10:48:41,19746,"reverted Rev7, as it introduces completely unrelated behavior (""TLDs are never >8 characters"")"
110410534,5,46181,aba47e5a-0f4e-43a2-bb88-3a01a3335506,2016-02-09T10:37:08,1406807,"I don't know why it works in js but in java in won't compile cause illegal to have ""[["" construction and you need to escape like ""[\["""
110411840,5,46181,45146b07-d3e8-40da-a7b1-84a032bf70c5,2016-02-09T10:52:37,1406807,forgotten to escape here to
112304521,5,46181,60b7a2fa-c644-45d1-b3e0-95513a3dc7ef,2016-03-03T10:53:29,1008999,added a bunch of existing tests
119528546,5,46181,bc1ce471-de1e-4a3f-973c-7601e6f82596,2016-06-02T14:05:58,3518452,added 1025 characters in body
