PostId,ParentId,Score,OwnerUserId,LastEditorUserId,LastEditorDisplayName,LastEditDate,LastActivityDate,Tags,CommentCount
3071,3061,1468,363,68707,,2017-02-22T18:10:17.887,2017-02-22T18:10:17.887,<python>,16
6700,5223,2043,NA,9420365,Jeff Atwood,2018-05-15T21:48:10.767,2018-05-15T21:48:10.767,<javascript><javascript-objects>,14
25486,25259,270,1,-1,Jeff Atwood,2017-03-20T10:29:34.383,2013-12-26T18:33:00.800,<regex><language-agnostic><seo><friendly-url><slug>,11
34658,34571,1425,3087,545127,Cem Catikkas,2017-12-14T17:14:57.340,2017-12-14T17:14:57.340,<unit-testing><tdd>,25
35314,35301,405,91,3509591,,2018-01-03T03:35:10.657,2018-01-03T03:35:10.657,<c#><php><operators>,12
38578,38549,5458,116,5441,Mark Harrison,2017-09-28T19:52:04.203,2017-09-28T19:52:04.203,<sql><database><join><inner-join><outer-join>,22
41156,41107,1407,3474,3474,erickson,2017-08-16T23:34:53.313,2017-08-16T23:34:53.313,<java><string><random><alphanumeric>,56
42918,7665,346,4421,45375,,2015-10-22T22:46:51.510,2015-10-22T22:46:51.510,<bash><shell><scripting><symlink>,17
46181,46155,3829,3880,259526,,2018-03-16T21:33:25.523,2018-03-16T21:33:25.523,<javascript><regex><validation><email><email-validation>,82
48199,48198,1701,1554,2642204,Brad Wilson,2016-08-05T10:28:25.687,2016-08-05T10:28:25.687,<windows><networking><port>,17
52713,52704,4241,5422,194894,user456814,2018-05-09T21:29:52.727,2018-05-09T21:29:52.727,<git>,25
64966,61212,7675,NA,1867857,,2016-11-16T16:06:07.313,2016-11-16T16:06:07.313,<git><branch><git-branch>,13
600306,600293,1046,893,3889449,,2018-05-16T12:49:26.707,2018-05-16T12:49:26.707,<c#><algorithm><math>,26
600612,600268,879,6899,6899,,2017-10-12T12:52:07.537,2017-10-12T12:52:07.537,<python><mkdir>,22
605858,605845,1931,28169,1380973,unwind,2017-08-01T05:52:36.053,2017-08-01T05:52:36.053,<c><malloc><casting>,41
613132,610245,941,34509,523124,litb,2016-09-02T15:50:24.260,2016-09-02T15:50:24.260,<c++><templates><typename><c++-faq><dependent-name>,12
620559,619895,249,52213,2385,Kieron,2010-10-05T18:17:30.743,2010-10-05T18:17:30.743,<asp.net-mvc><http-status-code-404>,15
624013,622982,101,3207,3207,Carl Meyer,2015-01-07T16:49:11.080,2015-01-07T16:49:11.080,<python><django><forms><django-forms>,19
625624,625433,1086,74491,59087,,2016-09-01T21:52:30.597,2016-09-01T21:52:30.597,<java><time>,12
626871,626759,889,11992,5657159,J.F. Sebastian,2018-05-14T07:50:27.920,2018-05-14T07:50:27.920,<python><list><tuples>,22
5539378,5538972,90,94197,-1,,2017-05-23T12:18:01.347,2013-03-30T12:22:09.230,<javascript><debugging><console><internet-explorer-9>,12
5573422,5573096,41,182668,514749,,2012-08-18T12:01:20.973,2012-08-18T12:01:20.973,<javascript><html><image><webp>,12
5624139,5623838,937,96100,96100,,2016-08-22T10:14:25.133,2016-08-22T10:14:25.133,<javascript><colors><hex><rgb>,11
5666430,1968017,187,439049,7108457,,2018-08-22T12:34:39.070,2018-08-22T12:34:39.070,<iphone><cocoa><cocoa-touch><uiview>,11
5683179,5683154,123,234944,209139,,2018-07-20T16:02:33.897,2018-07-20T16:02:33.897,<mysql><ubuntu>,20
5719854,1028649,1656,4682,63550,,2018-07-28T20:13:38.977,2018-07-28T20:13:38.977,<git><git-tag>,16
5767357,5767325,9065,613430,4757672,,2018-08-09T07:43:52.403,2018-08-09T07:43:52.403,<javascript><arrays>,35
5831191,5830387,279,433790,63550,,2017-03-11T02:05:38.180,2017-03-11T02:05:38.180,<php><regex><youtube>,51
5876747,5874652,1740,96100,561731,,2018-08-03T13:43:57.613,2018-08-03T13:43:57.613,<javascript><jquery><dom><attr><prop>,36
5889795,1347779,169,257550,1252541,,2015-10-27T16:37:49.853,2015-10-27T16:37:49.853,<ios><objective-c><iphone>,11
5898748,5898656,560,218196,2231819,,2018-05-28T08:04:15.907,2018-05-28T08:04:15.907,<javascript><html><css><dom>,19
5921190,600207,1532,111995,63550,,2014-11-05T18:57:14.957,2014-11-05T18:57:14.957,<android><android-service>,29
5939737,1528717,123,337062,337062,,2013-11-20T09:53:22.287,2013-11-20T09:53:22.287,<php><installation><phpunit><filepath><php-ini>,13
5947280,881515,1016,121531,740639,,2017-01-17T14:20:49.163,2017-01-17T14:20:49.163,<javascript><namespaces><javascript-namespaces>,27
5963610,5963269,1468,428790,428790,,2018-08-08T09:18:55.813,2018-08-08T09:18:55.813,<r><r-faq>,9
5965940,1397036,348,748813,3067485,,2016-10-11T13:04:43.983,2016-10-11T13:04:43.983,<php><xml><arrays><simplexml>,22
6031266,6031214,184,6309,6309,,2018-08-29T06:10:13.697,2018-08-29T06:10:13.697,<windows><git><authentication>,29
677212,592620,2313,58803,446554,,2017-09-26T23:02:09.633,2017-09-26T23:02:09.633,<bash><shell>,48
679937,679915,748,48015,214446,,2014-08-29T10:30:56.390,2014-08-29T10:30:56.390,<javascript><json>,17
682343,348170,1963,20479,63550,Rhubarb,2013-03-09T11:13:35.140,2013-03-09T11:13:35.140,<git><version-control><git-commit><git-stage>,21
690300,690251,256,81589,81589,,2012-06-25T15:03:28.687,2012-06-25T15:03:28.687,<javascript><logging><internet-explorer-8><console>,11
692329,692246,1814,69755,NA,user456814,2014-05-30T02:30:59.827,2014-05-30T02:30:59.827,<git><file><version-control><dvcs><undo>,16
6089413,6089231,97,763305,6410484,,2017-11-29T17:24:22.890,2017-11-29T17:24:22.890,<c++><ifstream><newline>,13
6117889,6117814,200,257182,257182,,2017-08-12T11:27:43.307,2017-08-12T11:27:43.307,<javascript><date>,51
6154614,194465,190,95706,95706,,2011-05-27T16:05:21.220,2011-05-27T16:05:21.220,<c++><parsing>,16
6163129,6162484,1093,471272,442945,,2015-08-13T23:24:15.540,2015-08-13T23:24:15.540,<perl><unicode><utf-8>,50
6207519,6207362,60,69802,3845019,,2016-04-14T11:32:03.233,2016-04-14T11:32:03.233,<android><android-asynctask>,14
6225706,6225351,165,765854,1033581,,2017-09-10T16:46:33.433,2017-09-10T16:46:33.433,<php><html><minify>,12
6248722,6248666,92,224671,-1,,2017-05-23T12:10:32.943,2017-02-28T09:49:46.597,<javascript><hash><guid>,14
6252782,6252678,422,203907,38896,,2013-08-22T11:02:01.507,2013-08-22T11:02:01.507,<java><datetime><jodatime>,11
6273809,6273608,143,128940,360899,,2014-05-26T16:47:44.377,2014-05-26T16:47:44.377,<command-line><parameters><makefile><arguments>,12
6364313,6364289,551,448391,8313526,,2018-04-26T01:45:55.223,2018-04-26T01:45:55.223,<jquery><html><forms>,15
6366390,6366351,124,215966,8644621,,2018-03-30T15:57:55.607,2018-03-30T15:57:55.607,<php><css><dom>,11
6394168,6393943,311,711085,711085,,2018-05-31T17:39:28.387,2018-05-31T17:39:28.387,<javascript>,17
6491621,6491463,421,6782,6782,,2016-10-10T13:40:11.940,2016-10-10T13:40:11.940,<javascript><jquery><path><nested>,19
6581949,100003,5808,9951,3599552,,2018-04-08T12:53:08.200,2018-04-08T12:53:08.200,<python><oop><metaclass><python-datamodel>,11
