PostID, Overall_Sentiment_Score, Sentiment_Vector, Number_of_Comments_Between_Edits, Total_Scores_Between_Edits, Cummulative_Scores_Between_Edits
3071 ,  7 , "[ 0,0,0,1.3,-0.45,1,0.25,1,0,1,0.8,0,1.55,2,-1.8,-0.25,1,0.35,-0.75 ]" , "[ 0,9,7 ]" , "[ 0,4.9,2.1 ]" , "[ 0,4.9,7 ]"
6700 ,  9.65 , "[ 0,0.6,0.6,0.5,0,1.85,0.05,1,0.5,0,0,0.5,-0.6,0,0.25,1,0,0.6,-0.8,0.4,1,1.4,0.8 ]" , "[ 5,0,5,0,0,0,2,0,2 ]" , "[ 3.55,1.05,0.4,0.25,1.25,1,-0.2,1.4,2.2 ]" , "[ 3.55,4.6,5,5.25,6.5,7.5,7.3,8.7,10.9 ]"
25486 ,  8.55 , "[ 0,0.8,1,0,0,0,-0.55,0,1.25,0,0.8,1.1,0,0,0,1,-0.25,0,3.4,0 ]" , "[ 0,1,0,2,6,0,1,1,0 ]" , "[ 0.8,1,0,-0.55,3.15,1,-0.25,3.4,0 ]" , "[ 0.8,1.8,1.8,1.25,4.4,5.4,5.15,8.55,8.55 ]"
34658 ,  7.8 , "[ 0,0,0,0.5,-0.25,-0.75,1.05,1.3,1.4,-0.25,-0.25,0,0.4,1.85,1.3,0,0,0.35,-1.85,0.6,0,0.9,-2.15,0.55,-0.05,3.55,0,-0.95,0.7,0.5,-0.75,0,0.1 ]" , "[ 0,0,6,1,4,14,0,0 ]" , "[ 0,0,3.25,-0.25,3.55,1.4,0.1,0.1 ]" , "[ 0,0,3.25,3,6.55,7.95,8.05,8.15 ]"
35314 ,  7.55 , "[ 0,0.25,2,0,0,0,-1.1,-0.25,-0.25,-0.5,-0.25,2,-0.5,3.25,1.9,0,1,0 ]" , "[ 3,0,9,0,0,0 ]" , "[ 2.25,0,4.3,1,1,0 ]" , "[ 2.25,2.25,6.55,7.55,8.55,8.55 ]"
38578 ,  19.4 , "[ 0,0,0,0,1.15,3.7,1.15,1.05,0,0.5,1.55,-0.25,0.5,0,0.5,1.05,2.3,1.6,1.45,0,-1.1,-0.25,0,0,0.25,0.25,1,0.8,-0.25,1.05,1,0,1,-1.1,1.65,-1.15,0 ]" , "[ 0,0,0,3,0,0,12,2,0,0,0,0,0,0,0,3,0 ]" , "[ 0,0,0,6,1.05,0.5,7.35,0.25,1.25,1.8,0.55,0.8,2.05,1,1,-0.6,0 ]" , "[ 0,0,0,6,7.05,7.55,14.9,15.15,16.4,18.2,18.75,19.55,21.6,22.6,23.6,23,23 ]"
41156 ,  69.4 , "[ 0,2.3,0,-0.5,1.55,0.75,0.8,0,0,1.05,0,0.4,1.05,0.25,1.9,1.3,1.5,-0.8,0.8,1.4,2.2,0,0.8,1,0.25,0.3,0,0.75,0.9,0,2.9,1.85,1.25,0,0,-0.25,2.15,1.55,0.55,-0.2,3.2,1.2,5.35,3.2,3.7,0.85,1,0,0.85,0.6,1.3,3.55,-0.15,-0.5,-0.85,0.35,-0.25,0,1,0.6,0.75,0.55,2.55,3.15,0.6,0.6,1.3,1.4,0.25,0,0,0,0,0,0.3,0.75,1.65,0.8 ]" , "[ 0,1,17,0,3,1,3,0,0,0,9,0,0,9,0,7,2,0,0,0,0,4 ]" , "[ 2.3,0,14.15,0.8,1.55,0.75,4.75,1.25,0,-0.25,20.7,1.85,1,4.9,1,8.8,1.65,0,0,0,0,3.5 ]" , "[ 2.3,2.3,16.45,17.25,18.8,19.55,24.3,25.55,25.55,25.3,46,47.85,48.85,53.75,54.75,63.55,65.2,65.2,65.2,65.2,65.2,68.7 ]"
42918 ,  2.45 , "[ 0,0.6,0.25,-1.05,0,0,0,0.25,-0.5,0,1.3,0.6,0.1,0.1,0,1,-1.25,0.65,-0.75,0.65,0.25,0.25 ]" , "[ 3,0,7,3,4 ]" , "[ -0.2,0,1.75,-0.25,0.4 ]" , "[ -0.2,-0.2,1.55,1.3,1.7 ]"
46181 ,  20.1 , "[ 0,1.15,2.25,0.5,0,-0.7,-0.2,0,-0.25,0,-0.25,0,0,0.05,0.75,-0.5,-0.4,0.8,-0.2,1.55,0.75,1,0.8,0.75,0.8,-1.05,-2.8,0,-0.25,0,0.15,-0.75,-0.25,-1.35,2,-1,-0.75,1.8,0.8,0,1,0.8,0,0,0.8,-1.8,0.5,-1,-0.75,0.8,1,0.8,3.8,-0.5,-0.8,0,0.8,-0.8,0,0.6,0.5,-0.5,-1,1.1,-0.2,-0.5,0.8,1.5,0.25,0.5,1.7,0,0.15,-0.5,-0.75,0,0.65,-1,0,0,1.35,1.55,0,0.4,0,0.5,-0.75,0,1.6,1,-0.25,0,0.25,1.7,-0.25,0,0.75,0,0.75,-0.55,0,0.25,-1.75,0.4 ]" , "[ 6,1,18,0,5,12,0,0,7,12,0,0,0,0,2,0,3,10,1,0,0,5 ]" , "[ 3,-0.25,2.05,-0.25,-0.2,2.15,0.05,1.8,3.3,4.75,0.15,-0.35,-1.25,-0.75,-0.35,0,2.9,4.05,0,0.75,0.75,-1.65 ]" , "[ 3,2.75,4.8,4.55,4.35,6.5,6.55,8.35,11.65,16.4,16.55,16.2,14.95,14.2,13.85,13.85,16.75,20.8,20.8,21.55,22.3,20.65 ]"
48199 ,  7.15 , "[ 0,0,0,0.2,0,1,-0.7,0.75,1,0,1.85,-0.8,1.45,0,0.4,0.6,1.2,0,0,-1.25,0.7,0,0.25,0.5 ]" , "[ 0,2,0,1,0,4,10 ]" , "[ 0,0.2,1,-0.7,1.75,2.5,2.4 ]" , "[ 0,0.2,1.2,0.5,2.25,4.75,7.15 ]"
