PostID, Overall_Sentiment_Score, Sentiment_Vector, Number_of_Comments_Between_Edits, Total_Scores_Between_Edits, Cummulative_Scores_Between_Edits
3071 ,  3.25 , "[ 0,0.75,0,1,0,0,0.65,-0.5,1,0,0,0,0,0,-1.5,0,0,0,-0.25,-1.5,-2.1,-1.5,-1,0,-1.25,-1,-0.25,0.3,-0.3,-0.25,0,0.5,2.15,0,0,0.55,-0.5,-0.25,-0.4,0.8,0.85,0.8,-0.75,-0.75,0,1,0.3,-2.05,-0.25,0,1.8,0,0.1,2,2.85,2.2 ]" , "[ 0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,6,10,0,10 ]" , "[ 0.75,0.75,1,1,0,0.65,0.5,1,0,0,0,0,-1.5,-1.5,0,-8.6,2.4,0.35,1,6.95 ]" , "[ 0.75,1.5,2.5,3.5,3.5,4.15,4.65,5.65,5.65,5.65,5.65,5.65,4.15,2.65,2.65,-5.95,-3.55,-3.2,-2.2,4.75 ]"
6700 ,  10.6 , "[ 0,0,0.25,1,0.25,2.55,0,1.4,-0.4,0.25,0.95,0,-0.15,0,-0.75,1.4,0.4,-0.25,0,-0.25,0,0.45,0.3,-0.5,0,0,0,1.05,0.5,1.15,1 ]" , "[ 0,0,8,0,0,0,0,1,0,2,2,1,4 ]" , "[ 0,0.25,6,-0.15,-0.15,-0.75,0.65,0.4,-0.25,-0.25,-0.2,0,3.7 ]" , "[ 0,0.25,6.25,6.1,5.95,5.2,5.85,6.25,6,5.75,5.55,5.55,9.25 ]"
25486 ,  2.55 , "[ 0,0,0,-0.15,0,0.25,-0.1,-0.15,0,0,-1,-0.3,-0.75,2.3,0.9,-0.75,-0.35,0.65,1.5,0.5 ]" , "[ 0,0,1,3,0,10 ]" , "[ 0,0,-0.15,1.11022302462516e-16,0,2.7 ]" , "[ 0,0,-0.15,-0.15,-0.15,2.55 ]"
34658 ,  3.85 , "[ 0,0,-1,0.5,2.35,1,0.5,1.05,0,-0.2,0.6,0,0,1.35,0,0,0.6,-0.45,-1.55,0,0.8,-1.4,0.8,0,1.5,-1.4,-1.1,0.4,-1,-0.5,1 ]" , "[ 0,10,1,4,6,0,1,0,0 ]" , "[ 0,4.8,1.35,-1.4,0.3,-0.7,-1,0.5,1 ]" , "[ 0,4.8,6.15,4.75,5.05,4.35,3.35,3.85,4.85 ]"
35314 ,  6.9 , "[ 0,1,-1,0.6,-2,0,0.35,0,1,0.85,-0.5,-0.15,0,1.05,0,1,0.6,1.5,0,1,1.6 ]" , "[ 4,1,0,3,1,0,2,2 ]" , "[ -1.4,0.35,1,0.2,1.05,1,2.1,2.6 ]" , "[ -1.4,-1.05,-0.0499999999999998,0.15,1.2,2.2,4.3,6.9 ]"
38578 ,  10.5 , "[ 0,0,0,-0.15,0.35,0,0.4,0.6,-0.65,0.6,1,0.75,0,1,0.1,1,0,0.6,0,0.65,0.9,1,0.6,1,0.75 ]" , "[ 6,1,0,1,0,0,0,2,3,0,0,0 ]" , "[ 0.6,-0.65,1.6,0.75,1,1.1,1.1,0.6,2.55,1.6,1.75,0.75 ]" , "[ 0.6,-0.05,1.55,2.3,3.3,4.4,5.5,6.1,8.65,10.25,12,12.75 ]"
41156 ,  13.6 , "[ 0,-0.25,1,0,0.8,1.3,0.5,1.1,-0.5,0,0.5,1.7,1.1,2,4.35 ]" , "[ 0,0,12 ]" , "[ -0.25,0.75,12.85 ]" , "[ -0.25,0.5,13.35 ]"
42918 ,  2.85 , "[ 0,0,-1.15,0,1,0,0,0,1,0,1.3,0,0.95,0,1.15,-0.5,0.25,-0.75,-0.4 ]" , "[ 5,6,2,2 ]" , "[ -0.15,3.25,0.65,-1.15 ]" , "[ -0.15,3.1,3.75,2.6 ]"
46181 ,  16.35 , "[ 0,-0.25,1.35,0.25,0,0.3,0,0,0,3.85,0.4,-0.5,-0.55,0.75,0.75,0,-0.25,2.4,0,1.25,0,0.5,0,0,0.75,0.75,0,0.25,0,0.75,1.35,0.25,0,0.75,0,0,-0.25,0.6,0.9,0,0 ]" , "[ 0,2,1,0,0,4,0,0,2,2,0,0,1,0,1,0,2,0,0,5,0 ]" , "[ -0.25,1.6,0.3,0,0,3.2,1.5,0.75,2.15,1.25,0.5,0,0.75,0.75,0.25,0.75,1.6,0.75,0.75,1.25,0 ]" , "[ -0.25,1.35,1.65,1.65,1.65,4.85,6.35,7.1,9.25,10.5,11,11,11.75,12.5,12.75,13.5,15.1,15.85,16.6,17.85,17.85 ]"
48199 ,  8.25 , "[ 0,0,0.7,0.55,0.4,-0.75,-0.35,0,0.75,0.75,0.3,-0.6,0,0,-1.2,-0.75,2.7,-0.35,-0.25,0,0.25,-0.65,0,0,2.77555756156289e-17,0.75,1.5,2,1.4,1.1 ]" , "[ 6,4,0,5,2,7 ]" , "[ 0.55,1.2,0,0.15,-0.4,6.75 ]" , "[ 0.55,1.75,1.75,1.9,1.5,8.25 ]"
