PostID, Overall_Sentiment_Score, Sentiment_Vector, Number_of_Comments_Between_Edits, Total_Scores_Between_Edits, Cummulative_Scores_Between_Edits
3071 ,  7.55 , "[ 0,0.25,2,0,0,0,-1.1,-0.25,-0.25,-0.5,-0.25,2,-0.5,3.25,1.9,0,1,0 ]" , "[ 3,0,9,0,0,0 ]" , "[ 2.25,0,4.3,1,1,0 ]" , "[ 2.25,2.25,6.55,7.55,8.55,8.55 ]"
6700 ,  14.3 , "[ 0,0,0.15,0,1.15,0.8,2.2,0.65,0,0,-0.4,1.15,0,3,1.1,-1.55,0.25,0,0,2.25,0,0.4,0.75,0,0,0,1.25,-0.25,0,0,1.4 ]" , "[ 7,0,7,0,6,3,1 ]" , "[ 4.95,0,3.55,0,3.4,1,1.4 ]" , "[ 4.95,4.95,8.5,8.5,11.9,12.9,14.3 ]"
25486 ,  0.25 , "[ 0,0,0,0,0,0,1.15,-1.35,0,-0.75,0.35,0.25,0,-0.75,0,1.2,1,-0.25,-0.5,0,0,-0.1,0,0 ]" , "[ 0,0,0,4,0,1,2,0,0,7 ]" , "[ 0,0,0,-0.2,-0.75,0.35,-0.75,1.2,2.2,-0.85 ]" , "[ 0,0,0,-0.2,-0.95,-0.6,-1.35,-0.15,2.05,1.2 ]"
34658 ,  2.4980018054066e-16 , "[ 0,0.2,-3.15,0.65,-0.6,0.7,-2.4,1,0,-1.65,0,0.8,0,3.55,0,0.65,0.25,0 ]" , "[ 10,5,0 ]" , "[ -5.25,4.45,0 ]" , "[ -5.25,-0.8,-0.8 ]"
35314 ,  45.95 , "[ 0,-0.25,1.9,0.8,0.75,1.2,2.25,0,0.25,0.4,1.2,3.05,2.85,-1.65,2,0.75,-0.5,0.6,-1.1,-0.1,0,0.25,0.75,1.6,0.95,0,1.6,0.4,0,1,1.65,1.3,0.95,0.7,2.1,5,2.5,2.45,0.6,1.6,0.75,0.8,2.7,1,2.4,0,0.25,-0.75,0,-1,0 ]" , "[ 2,3,9,7,19,5 ]" , "[ 1.65,4.2,8.35,2.35,29.5,-1.5 ]" , "[ 1.65,5.85,14.2,16.55,46.05,44.55 ]"
38578 ,  15.95 , "[ 0,0,1.1,0.8,0,2.8,0.5,0,2,-1,1,3.1,0,0.5,-0.2,2.2,1.75,0.35,0,-0.75,0.65,0.6,0.55,0 ]" , "[ 0,2,4,0,12,0 ]" , "[ 0,1.9,5.3,0,8.75,0 ]" , "[ 0,1.9,7.2,7.2,15.95,15.95 ]"
41156 ,  2.85 , "[ 0,-1,0,0.6,0.8,0.6,-0.15,0,1.4,0,1.55,0.5,0.35,-2.1,0.25,0,0.85,-0.8 ]" , "[ 0,2,2,1,8 ]" , "[ -1,0.6,0.45,1.4,0.6 ]" , "[ -1,-0.4,0.0499999999999999,1.45,2.05 ]"
42918 ,  25.25 , "[ 0,1.25,0,0,0,0.85,0,-0.45,1.35,2.05,0.6,0,0.75,-0.5,-0.25,1.8,0.8,1.55,0,2.25,0.4,1.4,-0.5,0,1.3,0.55,0.5,1,3.6,0,1.3,-0.6,0,4,-0.75,1 ]" , "[ 2,0,6,0,5,1,0,3,8,1 ]" , "[ 1.25,0,4.4,0.75,3.4,2.25,1.8,0.8,9.8,1 ]" , "[ 1.25,1.25,5.65,6.4,9.8,12.05,13.85,14.65,24.45,25.45 ]"
46181 ,  15.45 , "[ 0,0,0,0.25,0.1,0.5,0,0,1.05,1.55,0,0,0,2.1,0.65,2.8,0.25,1,0.75,0.5,1,0.4,0.75,1.65,0.15,0 ]" , "[ 12,2,0,8 ]" , "[ 3.45,3.45,1.25,5.2 ]" , "[ 3.45,6.9,8.15,13.35 ]"
48199 ,  8.5 , "[ 0,-1.2,0,0,1.1,1,0,0,0,0,0.55,1.9,-1.5,1.05,0,2.4,1.35,-0.25,0.4,1.75,0.2,-0.25,0 ]" , "[ 2,17,0,0 ]" , "[ -1.2,9.95,-0.25,0 ]" , "[ -1.2,8.75,8.5,8.5 ]"
52713 ,  14.35 , "[ 0,0,3.55,1.65,0.6,1,0.5,-1,0.25,-0.25,2.3,0,-0.5,0.95,0,-0.5,0.65,0.25,-0.15,0.25,0.75,0.35,0.25,1.15,2.15,0.15 ]" , "[ 0,5,1,2,0,4,7 ]" , "[ 0,7.3,0.25,2.3,0.45,0.4,5.05 ]" , "[ 0,7.3,7.55,9.85,10.3,10.7,15.75 ]"
64966 ,  -1.2 , "[ 0,-0.75,-0.25,0,0,-1,0,1.15,-2,-0.1,-1.25,-1.25,0.85,0.1,0,0,0.1,0.25,0.5,1.05,-0.25,0,0.5,1.75,-0.6 ]" , "[ 0,0,3,6,11 ]" , "[ -0.75,-1,-1,-2.6,3.3 ]" , "[ -0.75,-1.75,-2.75,-5.35,-2.05 ]"
89243 ,  14.05 , "[ 0,1.4,0,1.4,3.1,0.5,1.3,1.3,1.4,0,1.3,0,0,0.4,0.4,0.8,0.5,0,0.25,0,0,0 ]" , "[ 4,3,0,0,7,0,0,0 ]" , "[ 5.9,4,1.3,1.3,2.35,0,0,0 ]" , "[ 5.9,9.9,11.2,12.5,14.85,14.85,14.85,14.85 ]"
101945 ,  10.85 , "[ 0,0,0,1.05,-0.5,0,0.8,0.4,0,0,0,0,-0.25,0,0.8,0,0.75,0,0.6,0,1,0,2.4,1.7,0.5,1.25,0.8,-0.45 ]" , "[ 0,0,2,3,0,0,1,3,1,0,0,6 ]" , "[ 0,0,0.55,1.2,0,0,-0.25,1.55,0.6,1,1,6.2 ]" , "[ 0,0,0.55,1.75,1.75,1.75,1.5,3.05,3.65,4.65,5.65,11.85 ]"
