PostID, Overall_Sentiment_Score, Sentiment_Vector, Number_of_Comments_Between_Edits, Total_Scores_Between_Edits, Cummulative_Scores_Between_Edits
3071 ,  17.95 , "[ 0,1.8,1.05,2.6,-0.5,0,1,1.9,0.95,1,0.5,0,0.8,-1.1,1.3,1.25,0,0.6,0,0.75,-0.25,-0.75,1.4,-0.25,-1.15,0.75,0.25,0.5,0,0.25,1,1,0.8,1.5,-1 ]" , "[ 4,0,4,6,4,11 ]" , "[ 4.95,1,4.35,2.85,1.15,3.9 ]" , "[ 4.95,5.95,10.3,13.15,14.3,18.2 ]"
6700 ,  1.05 , "[ 0,0,0,0,-0.25,0,0,0,0,0,-0.2,0.3,0,0,-0.5,0.55,0,0,-0.25,0,0.25,0,0.4,0,0,1,0,-1.25,1,0 ]" , "[ 0,0,0,1,1,4,0,3,3,0,0,0,0,1,0,1 ]" , "[ 0,0,0,-0.25,0,0.1,0,0.05,0,0.4,0.4,0,1,0,-0.25,0 ]" , "[ 0,0,0,-0.25,-0.25,-0.15,-0.15,-0.0999999999999999,-0.0999999999999999,0.3,0.7,0.7,1.7,1.7,1.45,1.45 ]"
25486 ,  1.7 , "[ 0,0.5,0,0,-0.5,-1,0.95,0,0,-0.5,0,0.15,0,0,1.85,0.5,0,1,0,0,0.25,0,-0.6,-1.5,0,0.6,0,0 ]" , "[ 1,9,2,0,0,3,2,1,1 ]" , "[ 0.5,-0.9,1.85,0.5,1,0.25,-2.1,0.6,0 ]" , "[ 0.5,-0.4,1.45,1.95,2.95,3.2,1.1,1.7,1.7 ]"
34658 ,  16.75 , "[ 0,1.65,0.3,0,0.25,0.75,0.9,0.25,0,0.8,0.6,0.35,0.6,0,2.3,0.8,0.6,-1,1.8,0.1,0,1,-0.5,1.8,0,1.85,1.3,0,0.25 ]" , "[ 9,2,6,0,5,1 ]" , "[ 4.9,0.95,4.6,1,4.45,0.25 ]" , "[ 4.9,5.85,10.45,11.45,15.9,16.15 ]"
35314 ,  12.2 , "[ 0,3.2,0.25,0,1,0,0.75,-1,1.05,0.5,-0.25,-0.5,0.6,0.6,-1,0,0.5,1.1,0.35,-0.25,0.25,1.05,0.75,0.75,1,0,0,0,-0.25,1.1,0,1,-1.25,0.65,0.25 ]" , "[ 2,0,2,7,7,0,1,3,0,0,2 ]" , "[ 3.45,1,0.75,1,3.75,1.75,0,0.85,1,-0.25,0.9 ]" , "[ 3.45,4.45,5.2,6.2,9.95,11.7,11.7,12.55,13.55,13.3,14.2 ]"
38578 ,  4.75 , "[ 0,-0.25,0,-0.25,0,0.25,0.35,1,-0.75,0,0.8,0,0.4,1.1,0,1.85,-0.75,0,1,0,0,0 ]" , "[ 1,14,0,3 ]" , "[ -0.25,4,1,0 ]" , "[ -0.25,3.75,4.75,4.75 ]"
41156 ,  26.4 , "[ 0,1.95,0.5,0,1.1,1,0.75,1.1,0,2.15,0,0,0.5,1.6,0.25,-0.25,0.5,0.25,1,1.7,1.75,1.5,-0.2,0,4.25,-0.8,2.75,0.75,0.25,-0.75,-0.2,0.25,0.25,-0.25,1.35,1.6,-0.2,0 ]" , "[ 11,24,0 ]" , "[ 8.55,17.35,0 ]" , "[ 8.55,25.9,25.9 ]"
42918 ,  38.7 , "[ 0,2.05,1,-0.75,0,1,1.35,3.15,1.3,3.05,2.6,1.65,0.5,0.25,1.1,0,2.15,-0.1,0.25,1,1.35,0.75,0.55,0.65,0.5,0,2.35,0.4,2.1,0.25,1.05,0.5,1.15,0,1,1.5,1.8,0.25,0,1,0 ]" , "[ 3,0,2,29,0,0,0 ]" , "[ 2.3,1,4.5,28.6,1,1,0 ]" , "[ 2.3,3.3,7.8,36.4,37.4,38.4,38.4 ]"
46181 ,  -1.25 , "[ 0,-0.25,0.25,1,0.8,1,-0.8,-1.2,-0.2,0,-0.25,0.8,0,0.75,0,0,-1.25,0,0,-0.2,-1,0,-0.75,-1.5,0.8,0,0.75 ]" , "[ 0,0,0,0,0,4,6,0,0,0,0,3,1 ]" , "[ -0.25,0,1.25,1.8,1.8,-2.2,0.3,0,-0.2,-1.2,-1,-1.45,0.75 ]" , "[ -0.25,-0.25,1,2.8,4.6,2.4,2.7,2.7,2.5,1.3,0.299999999999999,-1.15,-0.400000000000001 ]"
48199 ,  25.15 , "[ 0,1.1,2.35,0.6,1.35,-0.6,0.25,0,-0.5,1.7,0,1.65,0.85,0,0.5,1.85,-0.6,0,0,0.25,0,0,0,-0.15,0,1.7,0.05,-0.25,0.25,0,0,0.4,0.75,1,1.35,1.1,0,0,1,0.85,1.05,1.2,1,0,1.1,1.6,0.4 ]" , "[ 6,5,4,5,5,1,0,3,8,0 ]" , "[ 5.05,3.7,1.75,0.1,1.75,0.4,1.75,2.45,7.8,0.4 ]" , "[ 5.05,8.75,10.5,10.6,12.35,12.75,14.5,16.95,24.75,25.15 ]"
