PostID, Overall_Sentiment_Score, Sentiment_Vector, Number_of_Comments_Between_Edits, Total_Scores_Between_Edits, Cummulative_Scores_Between_Edits
3071 ,  11.6 , "[ 0,0,0.6,1,0,0,-0.5,0,0.5,-0.25,0,0,-0.5,0.85,0.6,0.75,-1,-1.1,-0.0499999999999999,3.1,0.75,1.6,3.1,0.3,0.75,-0.25,0,0,-0.1,-0.25,0.25,0.25,-0.8,1,0,1 ]" , "[ 0,0,0,0,24,2,0,0,0,0 ]" , "[ 0,0.6,1.6,1,8.55,0.5,0.2,1,1,1 ]" , "[ 0,0.6,2.2,3.2,11.75,12.25,12.45,13.45,14.45,15.45 ]"
6700 ,  3.2 , "[ 0,0,0,0,0.9,0,1.25,0,0,-0.25,0.8,-1.35,-0.5,0.55,-0.85,-0.25,-0.25,1,0.8,1.5,-0.9,0.5,-1,0,0,-0.1,-0.25,1.15,0,0,-0.25,0.1,0.75,-0.15 ]" , "[ 0,0,0,0,0,2,0,1,0,3,1,1,0,0,0,0,2,0,0,4 ]" , "[ 0,0,0,0.9,0.9,1.25,-0.25,0.8,-1.85,-0.55,1,1.5,-0.4,-0.5,-1,0,-0.35,1.15,0,0.45 ]" , "[ 0,0,0,0.9,1.8,3.05,2.8,3.6,1.75,1.2,2.2,3.7,3.3,2.8,1.8,1.8,1.45,2.6,2.6,3.05 ]"
25486 ,  13.05 , "[ 0,1.55,0,1,1.05,0,0,0.55,0.4,0.15,2.3,0.05,-0.25,0.7,0.6,1.4,-0.25,1,0,-0.25,0.8,0.55,0.7,0,0.65,0.35 ]" , "[ 1,0,1,0,9,0,0,0,5,0 ]" , "[ 1.55,1,1.05,0,5.9,0.75,1,-0.25,2.7,0.35 ]" , "[ 1.55,2.55,3.6,3.6,9.5,10.25,11.25,11,13.7,14.05 ]"
34658 ,  15.5 , "[ 0,0.6,1,-1.1,0.5,0,0,0,1,0.5,-1,-1.1,1.4,-0.5,0,0.6,0,1,0,-0.75,-0.25,0,0.5,1.7,1.2,0,1.2,0.5,0.8,0,0.55,-1.25,-1.75,3.7,1,1.2,0.5,0,0,0.9,0,1.5,0.6,0,0.75 ]" , "[ 6,0,1,4,0,0,0,5,0,0,2,7,0,1,2,1 ]" , "[ 1,1,0.5,-0.2,0.6,1,1,1.2,1.2,1.2,1.3,3.95,0,0.9,2.1,0.75 ]" , "[ 1,2,2.5,2.3,2.9,3.9,4.9,6.1,7.3,8.5,9.8,13.75,13.75,14.65,16.75,17.5 ]"
35314 ,  7.55 , "[ 0,0,-0.5,0,2,-0.5,0.5,0.5,2.05,0.4,1,0,0,-0.5,-0.15,0.15,0.8,-0.0499999999999999,1.4,0.75,0.6,0,0.05,0.3,-0.5,-0.25,0.25,0,-0.75 ]" , "[ 0,1,5,0,4,11,1 ]" , "[ 0,-0.5,4.55,1.4,-0.65,3.35,-0.75 ]" , "[ 0,-0.5,4.05,5.45,4.8,8.15,7.4 ]"
38578 ,  0.5 , "[ 0,0,-0.25,0.8,-0.25,-0.5,0,-0.75,0,-0.25,1.35,0,0,-0.6,-0.4,1.35,0,0,0 ]" , "[ 2,7,7 ]" , "[ -0.25,-0.4,0.35 ]" , "[ -0.25,-0.65,-0.3 ]"
41156 ,  3.9 , "[ 0,1,1,0.25,0.5,0.2,-0.75,0.35,-0.75,0.5,1.95,0,0,1,0,0,1,-1.75,-0.6 ]" , "[ 3,6,0,0,0,0,0,2 ]" , "[ 2.25,1.5,0,1,1,0,1,-2.35 ]" , "[ 2.25,3.75,3.75,4.75,5.75,5.75,6.75,4.4 ]"
42918 ,  5.5 , "[ 0,0,-0.25,-0.5,2.6,0.05,-0.6,0.85,1.3,1.05,0.15,-1.5,0.5,0.8,-0.5,0.8,1.4,1.2,-1.5,1,-0.85,-1,-0.7,-0.6,0.65,0.75,-0.9,-1.5,0.5,0.9,1.05,0.35 ]" , "[ 0,25,3,0 ]" , "[ 0,4.2,2.45,0.35 ]" , "[ 0,4.2,6.65,7 ]"
46181 ,  12.8 , "[ 0,0,0.25,0,0.75,1.7,-0.35,0,1.05,1,0,0.25,0.8,0.25,0,-0.1,0.5,1.85,0.5,0.4,0,1,0.9,0,0,1.35,0,-0.6,1.3 ]" , "[ 6,0,0,0,9,0,1,2,0,1 ]" , "[ 2.35,1.05,2.05,1,4.45,1,0.9,1.35,-0.6,1.3 ]" , "[ 2.35,3.4,5.45,6.45,10.9,11.9,12.8,14.15,13.55,14.85 ]"
48199 ,  -0.95 , "[ 0,0.85,0.1,0,0.5,-2.75,-1.85,0.75,2.15,0,1,-1.1,0,0,0,-2.25,-0.25,-0.75,2,0.65 ]" , "[ 8,2,0,0,5 ]" , "[ -0.25,-0.1,0,0,-0.6 ]" , "[ -0.25,-0.35,-0.35,-0.35,-0.95 ]"
52713 ,  8.05 , "[ 0,2.15,0,1.4,0.85,0.6,-0.25,1,-0.5,0.3,0.8,0,1,-0.75,0.5,0.45,0.1,0.4 ]" , "[ 4,5,0,0,4 ]" , "[ 4.4,1.35,1,0.25,1.45 ]" , "[ 4.4,5.75,6.75,7,8.45 ]"
