PostID, Overall_Sentiment_Score, Sentiment_Vector, Number_of_Comments_Between_Edits, Total_Scores_Between_Edits, Cummulative_Scores_Between_Edits
3071 ,  9.65 , "[ 0,0,1.7,0.25,0.25,0.8,0.5,-0.45,1.8,1.65,0,0.5,0,0.85,1.8 ]" , "[ 0,10,2 ]" , "[ 0,7,2.65 ]" , "[ 0,7,9.65 ]"
6700 ,  9.35 , "[ 0,-1.25,0.6,-0.25,0,0,1,1.35,1.1,1,0.8,0.1,0,0.25,1.8,-1,1.95,0.6,0,0,0,0.6,0,0.3,-0.6,1 ]" , "[ 0,3,6,9,1,0,0 ]" , "[ -1.25,0.35,5.35,4.2,0.3,0.4,1 ]" , "[ -1.25,-0.9,4.45,8.65,8.95,9.35,10.35 ]"
25486 ,  6.9 , "[ 0,0.75,-0.25,-0.75,0,1,0.95,-0.4,0.75,0.6,1.35,1,0,1,-0.8,0,0.6,1.1 ]" , "[ 0,1,8,0,1,2 ]" , "[ 0.75,-0.25,5.25,1,-0.8,1.7 ]" , "[ 0.75,0.5,5.75,6.75,5.95,7.65 ]"
34658 ,  7.4 , "[ 0,-0.25,-0.85,0.5,0.4,1.5,0.9,0.5,0.4,0.9,0.25,0,0.75,0,0.85,-0.25,0.8,1 ]" , "[ 12,2,0,0 ]" , "[ 5,0.6,1.8,1 ]" , "[ 5,5.6,7.4,8.4 ]"
35314 ,  11.7 , "[ 0,0.5,1.25,0.25,0.25,-0.5,0.35,-0.25,0.95,0.75,0.6,0.2,1.4,0.5,-0.25,2.45,1,-1,0.5,1,-1.25,0,-1,0.65,0,-0.05,1.45,2.45,0,-0.5,0,0,0 ]" , "[ 1,2,22,3,0 ]" , "[ 0.5,0.5,10.45,-0.5,0 ]" , "[ 0.5,1,11.45,10.95,10.95 ]"
38578 ,  9.6 , "[ 0,0.75,0,0.5,0.85,-0.25,0.5,0,0.5,0.75,-0.5,0.5,1.4,0.95,0.75,1,0.85,-0.5,1.55,0,0 ]" , "[ 1,5,0,1,9 ]" , "[ 0.75,1.6,1.25,-0.5,6 ]" , "[ 0.75,2.35,3.6,3.1,9.1 ]"
41156 ,  30.5 , "[ 0,2.7,0,-0.2,2.1,0,1.1,0,-0.25,0.5,1.25,0.8,3.85,0.4,0,3.4,1.4,0,0,0,0.25,0,2,1.25,0.6,-0.4,1,-0.5,1,1.1,0,0.55,0.25,1.05,1.1,0,2.4,1,0,0.8 ]" , "[ 1,2,2,18,0,7,0,0,0,0 ]" , "[ 2.7,1.9,1.1,16.3,0.5,4.05,3.4,1,0.8,0.8 ]" , "[ 2.7,4.6,5.7,22,22.5,26.55,29.95,30.95,31.75,32.55 ]"
42918 ,  8.2 , "[ 0,0,0.5,0,0,0.35,0,0,0,0,0,2.55,0.25,0,0,0,0.1,1.15,-0.6,0.55,2.05,1.3 ]" , "[ 0,5,1,0,2,0,0,6 ]" , "[ 0,0.85,0,0,2.8,0,0,4.55 ]" , "[ 0,0.85,0.85,0.85,3.65,3.65,3.65,8.2 ]"
46181 ,  14.5 , "[ 0,0,0,-1,0,0.65,0,0,1,0,-0.15,0,0,0,0,-0.5,0,1.25,1,-0.5,0,0,0,1.1,0,0,0,0.4,0.25,1.3,1.25,0,0,0,0,0,1,0,0,-1.85,0,-0.5,0,0.5,1.5,0.9,-0.5,1.05,0.5,0.75,1,-0.75,0.25,0,0,2.15,0,0,1.6,1.85,-0.5,0,-0.5,0,0 ]" , "[ 0,0,1,2,1,1,0,0,0,1,0,0,0,0,3,0,0,4,1,0,0,0,1,1,1,6,3,3,2,0,3 ]" , "[ 0,0,-1,0.65,1,-0.15,0,0,0,-0.5,1.25,2.25,0.5,-0.5,1.1,0,0,3.2,0,0,0,1,0,-1.85,-0.5,3.95,0.5,2.15,3.45,-0.5,-0.5 ]" , "[ 0,0,-1,-0.35,0.65,0.5,0.5,0.5,0.5,0,1.25,3.5,4,3.5,4.6,4.6,4.6,7.8,7.8,7.8,7.8,8.8,8.8,6.95,6.45,10.4,10.9,13.05,16.5,16,15.5 ]"
48199 ,  5.4 , "[ 0,0.5,1.3,0,0.5,-0.75,0,1.1,0,0.3,1,1.3,-0.75,-0.5,0.75,0,0.65 ]" , "[ 5,4,0,4 ]" , "[ 1.55,2.4,0.55,0.9 ]" , "[ 1.55,3.95,4.5,5.4 ]"
52713 ,  10 , "[ 0,2.7,1.5,0.8,0,0,1,0.5,0,-0.25,1.1,2.4,0,1,-1,0.5,-0.25,0,0,1,-0.25,-1.6,0.25,0,0.6 ]" , "[ 8,2,0,4,0,3,1 ]" , "[ 6.5,3.5,1,-0.75,1,-1.6,0.6 ]" , "[ 6.5,10,11,10.25,11.25,9.65,10.25 ]"
64966 ,  12.5 , "[ 0,0,0,0,0,1,0,0.75,0,0.5,0.85,1.15,0.4,0.3,0,0,0,1,0.25,2,0,0,0.8,0.75,1,1.75 ]" , "[ 0,0,1,1,7,0,0,4,1,0,1 ]" , "[ 0,0,0,1,3.95,0,0,3.25,0.8,1.75,1.75 ]" , "[ 0,0,0,1,4.95,4.95,4.95,8.2,9,10.75,12.5 ]"
89243 ,  12.1 , "[ 0,0,2.75,1,1.6,-0.25,0.25,-0.35,1.05,0,1,1,-1,-1,0.75,1.1,0.25,1.2,0.8,0.8,-1.4,1.5,0.5,0.5,0.75,-0.5,-1.3,1.1 ]" , "[ 1,0,5,0,5,11 ]" , "[ 0,3.75,2.3,1,0.85,3.95 ]" , "[ 0,3.75,6.05,7.05,7.9,11.85 ]"
