PostID, Overall_Sentiment_Score, Sentiment_Vector, Number_of_Comments_Between_Edits, Total_Scores_Between_Edits, Cummulative_Scores_Between_Edits
3071 ,  9.65 , "[ 0,0.6,0.6,0.5,0,1.85,0.05,1,0.5,0,0,0.5,-0.6,0,0.25,1,0,0.6,-0.8,0.4,1,1.4,0.8 ]" , "[ 5,0,5,0,0,0,2,0,2 ]" , "[ 3.55,1.05,0.4,0.25,1.25,1,-0.2,1.4,2.2 ]" , "[ 3.55,4.6,5,5.25,6.5,7.5,7.3,8.7,10.9 ]"
6700 ,  20.1 , "[ 0,1.15,2.25,0.5,0,-0.7,-0.2,0,-0.25,0,-0.25,0,0,0.05,0.75,-0.5,-0.4,0.8,-0.2,1.55,0.75,1,0.8,0.75,0.8,-1.05,-2.8,0,-0.25,0,0.15,-0.75,-0.25,-1.35,2,-1,-0.75,1.8,0.8,0,1,0.8,0,0,0.8,-1.8,0.5,-1,-0.75,0.8,1,0.8,3.8,-0.5,-0.8,0,0.8,-0.8,0,0.6,0.5,-0.5,-1,1.1,-0.2,-0.5,0.8,1.5,0.25,0.5,1.7,0,0.15,-0.5,-0.75,0,0.65,-1,0,0,1.35,1.55,0,0.4,0,0.5,-0.75,0,1.6,1,-0.25,0,0.25,1.7,-0.25,0,0.75,0,0.75,-0.55,0,0.25,-1.75,0.4 ]" , "[ 6,1,18,0,5,12,0,0,7,12,0,0,0,0,2,0,3,10,1,0,0,5 ]" , "[ 3,-0.25,2.05,-0.25,-0.2,2.15,0.05,1.8,3.3,4.75,0.15,-0.35,-1.25,-0.75,-0.35,0,2.9,4.05,0,0.75,0.75,-1.65 ]" , "[ 3,2.75,4.8,4.55,4.35,6.5,6.55,8.35,11.65,16.4,16.55,16.2,14.95,14.2,13.85,13.85,16.75,20.8,20.8,21.55,22.3,20.65 ]"
25486 ,  10.1 , "[ 0,1.05,0.8,0,0,0,0,0,1.55,0.85,0.25,1.5,1.05,2.65,0,0.8,-1,1.6,0.25,0,0.5,-1.25,-0.5 ]" , "[ 2,0,0,0,0,6,4,1,1 ]" , "[ 1.85,0,0,0,0,7.85,1.65,0.5,-0.5 ]" , "[ 1.85,1.85,1.85,1.85,1.85,9.7,11.35,11.85,11.35 ]"
34658 ,  9.65 , "[ 0,0,1.7,0.25,0.25,0.8,0.5,-0.45,1.8,1.65,0,0.5,0,0.85,1.8 ]" , "[ 0,10,2 ]" , "[ 0,7,2.65 ]" , "[ 0,7,9.65 ]"
35314 ,  -0.5 , "[ 0,0,0,0,0.5,0,0,0.25,0,0,0.75,0,0.25,1.05,0,-0.75,-0.3,-0.15,-0.6,-1.5,0 ]" , "[ 0,0,0,1,0,1,0,11 ]" , "[ 0,0,0,0.5,0,0.25,0,-1.25 ]" , "[ 0,0,0,0.5,0.5,0.75,0.75,-0.5 ]"
38578 ,  24.1 , "[ 0,1.25,0.8,0,1,0.75,-0.15,-0.25,0,-0.5,1,0,0.6,-1,0,1,-0.25,1,0,0.5,0,-0.5,-0.25,0.25,0,0,1.3,-0.25,0.8,0,-0.5,0.1,-0.25,0.5,-0.6,0,0.65,2.1,0.5,0.6,0.5,1.4,0,1.7,0,0.75,0,0.8,1.2,0.5,0.5,0,1.1,1.8,1,1.4,0.25,0,0,1,0 ]" , "[ 1,0,0,2,1,0,0,2,0,0,0,0,5,0,1,1,5,8,1,6,0,0,0,0,0,0,0,0 ]" , "[ 1.25,0.8,1,0.6,0,0.5,1,-0.4,1,0.75,0.75,1,0,0,1.3,0.8,-0.75,7.45,0.75,4.1,2.8,2.4,1.65,0.25,0,1,1,0 ]" , "[ 1.25,2.05,3.05,3.65,3.65,4.15,5.15,4.75,5.75,6.5,7.25,8.25,8.25,8.25,9.55,10.35,9.6,17.05,17.8,21.9,24.7,27.1,28.75,29,29,30,31,31 ]"
41156 ,  14.8 , "[ 0,0,0,1.05,0,0,0.8,0,0,0,0,0.55,0,-0.25,0,0.25,0,0.9,0.75,0.4,0.5,-1.75,2.85,1.05,-0.05,0.25,0.5,0,0.6,0,0.6,0,1.4,0,0,0,0,1,0,-0.25,1,0,0,-0.35,0.75,0.25,0.5,0.6,0.05,0,-0.25,1.1,0 ]" , "[ 1,1,0,21,1,1,1,0,0,0,0,0,2,0,7,1,0 ]" , "[ 0,1.05,0,6.75,0.6,0.6,1.4,0,0,0,1,1,0.75,0,1.8,1.1,0 ]" , "[ 0,1.05,1.05,7.8,8.4,9,10.4,10.4,10.4,10.4,11.4,12.4,13.15,13.15,14.95,16.05,16.05 ]"
42918 ,  9.35 , "[ 0,-1.25,0.6,-0.25,0,0,1,1.35,1.1,1,0.8,0.1,0,0.25,1.8,-1,1.95,0.6,0,0,0,0.6,0,0.3,-0.6,1 ]" , "[ 0,3,6,9,1,0,0 ]" , "[ -1.25,0.35,5.35,4.2,0.3,0.4,1 ]" , "[ -1.25,-0.9,4.45,8.65,8.95,9.35,10.35 ]"
46181 ,  6 , "[ 0,1.25,-0.3,0.5,-1,0,0.6,0,-0.35,-0.85,0,2.1,2.8,1.1,1.8,-1,-0.5,0,0.1,0,-0.15,1.5,0.8,-1.4,-0.8,0,-1.4,0,-0.25,0.6,0.85 ]" , "[ 14,3,6,4 ]" , "[ 7.65,-0.4,-0.0499999999999999,1.2 ]" , "[ 7.65,7.25,7.2,8.4 ]"
48199 ,  -3.6 , "[ 0,0.4,-0.1,-0.6,-0.95,-0.25,-0.25,1.15,0,0.25,0,-0.75,0.9,0,-3.1,0.75,0.15,-0.6,-0.6 ]" , "[ 7,1,8 ]" , "[ -0.6,0.25,-3.25 ]" , "[ -0.6,-0.35,-3.6 ]"
