PostID, Overall_Sentiment_Score, Sentiment_Vector, Number_of_Comments_Between_Edits, Total_Scores_Between_Edits, Cummulative_Scores_Between_Edits
3071 ,  14.8 , "[ 0,0,0,1.05,0,0,0.8,0,0,0,0,0.55,0,-0.25,0,0.25,0,0.9,0.75,0.4,0.5,-1.75,2.85,1.05,-0.05,0.25,0.5,0,0.6,0,0.6,0,1.4,0,0,0,0,1,0,-0.25,1,0,0,-0.35,0.75,0.25,0.5,0.6,0.05,0,-0.25,1.1,0 ]" , "[ 1,1,0,21,1,1,1,0,0,0,0,0,2,0,7,1,0 ]" , "[ 0,1.05,0,6.75,0.6,0.6,1.4,0,0,0,1,1,0.75,0,1.8,1.1,0 ]" , "[ 0,1.05,1.05,7.8,8.4,9,10.4,10.4,10.4,10.4,11.4,12.4,13.15,13.15,14.95,16.05,16.05 ]"
6700 ,  7.4 , "[ 0,-0.25,-0.85,0.5,0.4,1.5,0.9,0.5,0.4,0.9,0.25,0,0.75,0,0.85,-0.25,0.8,1 ]" , "[ 12,2,0,0 ]" , "[ 5,0.6,1.8,1 ]" , "[ 5,5.6,7.4,8.4 ]"
25486 ,  14.9 , "[ 0,0,0,3.95,0,0,3.05,0,-0.4,0.6,0,0,0,1.25,0.6,0.75,1.1,0,-1.5,0.25,1.05,0.4,0,1.85,1,0.45,0,0.5,0 ]" , "[ 0,0,1,2,0,1,0,14,2 ]" , "[ 0,0,3.95,3.05,-0.4,0.6,0,7.2,0.5 ]" , "[ 0,0,3.95,7,6.6,7.2,7.2,14.4,14.9 ]"
34658 ,  11.7 , "[ 0,0.5,1.25,0.25,0.25,-0.5,0.35,-0.25,0.95,0.75,0.6,0.2,1.4,0.5,-0.25,2.45,1,-1,0.5,1,-1.25,0,-1,0.65,0,-0.05,1.45,2.45,0,-0.5,0,0,0 ]" , "[ 1,2,22,3,0 ]" , "[ 0.5,0.5,10.45,-0.5,0 ]" , "[ 0.5,1,11.45,10.95,10.95 ]"
35314 ,  12.1 , "[ 0,0,-0.25,0.25,0,1,0,1,-0.4,0.6,-0.25,-0.25,0,1.3,0,2.05,1.55,0.85,1.3,0,1,-0.5,-0.35,0.55,1.35,0,0.4,0,-0.5,-1.25,1,0.3,-0.75,-0.25,1.35,0,1,0,0 ]" , "[ 0,0,1,0,4,8,0,4,3,0,4,0,0,0,0 ]" , "[ 0,-0.25,0.25,1,1.2,6.8,1,1.05,-0.1,-0.25,0.65,1,1,0,0 ]" , "[ 0,-0.25,0,1,2.2,9,10,11.05,10.95,10.7,11.35,12.35,13.35,13.35,13.35 ]"
38578 ,  29.1 , "[ 0,0,1.35,1.05,0.5,0.5,1.1,1.7,0,0.75,2.3,1.6,0.4,2.45,0,0,-0.25,0.85,-0.35,-0.4,0.55,1.25,0,1.85,0.55,2.35,2.45,0,1.5,1.7,1.5,0,0,-1.1,1.75,0.95,0.25 ]" , "[ 0,10,1,0,21 ]" , "[ 0,10.85,2.45,0,15.4 ]" , "[ 0,10.85,13.3,13.3,28.7 ]"
41156 ,  8.3 , "[ 0,1.6,0.8,-1.05,-1.25,0.8,1.6,0.6,0.25,0.25,0.75,1.2,0,1,0,1.75 ]" , "[ 3,7,0,0,1 ]" , "[ 1.35,5.45,1,1,1.75 ]" , "[ 1.35,6.8,7.8,8.8,10.55 ]"
42918 ,  11.4 , "[ 0,0,2.05,0.8,0.6,1,1.1,0.75,0.85,0,-0.25,0,1.6,1.4,-0.85,1.55,0.8,0,0,0 ]" , "[ 0,7,0,0,5,0,0,0 ]" , "[ 0,7.15,-0.25,-0.25,4.5,0,0,0 ]" , "[ 0,7.15,6.9,6.65,11.15,11.15,11.15,11.15 ]"
46181 ,  8.9 , "[ 0,0.6,0,0,0.6,0.6,1.25,0,0,0,1,0,1.4,1.3,2.15 ]" , "[ 1,6,0,4 ]" , "[ 0.6,2.45,1,4.85 ]" , "[ 0.6,3.05,4.05,8.9 ]"
48199 ,  8.4 , "[ 0,0.6,0.8,1,0,0.35,0.75,1.25,1.1,-0.5,0.4,1.4,0,1.25 ]" , "[ 3,7,1 ]" , "[ 2.4,4.75,1.25 ]" , "[ 2.4,7.15,8.4 ]"
52713 ,  18.55 , "[ 0,0.75,0,0.85,0,0.6,1.1,0.5,1.5,-0.5,2.7,1.5,1.95,0.5,0.25,0.5,0,1,4.25,1.1 ]" , "[ 1,1,8,6 ]" , "[ 0.75,0.85,9.35,7.1 ]" , "[ 0.75,1.6,10.95,18.05 ]"
64966 ,  21.95 , "[ 0,0.8,3.05,0.5,0.15,-1.8,2.1,0.6,0,0,0.8,-0.25,0.45,0.75,0.25,-0.35,-0.3,-0.1,0,0.15,2.9,0.65,0.75,0.85,0.75,1,0.6,0.9,1.5,1.5,0.4,-0.35,0,1.35,0.75,1.6 ]" , "[ 0,5,0,0,1,6,3,7,5 ]" , "[ 0.8,4,0.6,0,0.8,0.7,3.7,7.1,3.35 ]" , "[ 0.8,4.8,5.4,5.4,6.2,6.9,10.6,17.7,21.05 ]"
89243 ,  10 , "[ 0,0,1.9,-0.25,0,0.8,0,0.25,1.05,-0.75,1.45,-0.5,0,0.5,0.25,0.4,0,-0.85,1.6,0.5,0,0.4,3.25,0.5,-0.5 ]" , "[ 5,13,4 ]" , "[ 2.45,3.9,3.65 ]" , "[ 2.45,6.35,10 ]"
101945 ,  13.95 , "[ 0,0,0,0,2.45,1.05,0,0.85,0,0.25,0.6,0,0.9,0,0,-0.25,0.6,0,-1,-0.6,1.5,1.5,1.85,0.5,0,0.5,0.35,0,0,0,-0.7,2.6,0.8,0,0,0,1.1,-0.75,0.75,0.1,-0.25,-0.85,0.25,-0.5,-1,1,-1,1.35 ]" , "[ 0,6,2,3,1,23,1,0,0,0,1 ]" , "[ 0,4.35,0.85,0.9,0.6,8.25,0.25,-1.5,0,0,1.35 ]" , "[ 0,4.35,5.2,6.1,6.7,14.95,15.2,13.7,13.7,13.7,15.05 ]"
105074 ,  12.5 , "[ 0,0,0,0,0,1,0,0.75,0,0.5,0.85,1.15,0.4,0.3,0,0,0,1,0.25,2,0,0,0.8,0.75,1,1.75 ]" , "[ 0,0,1,1,7,0,0,4,1,0,1 ]" , "[ 0,0,0,1,3.95,0,0,3.25,0.8,1.75,1.75 ]" , "[ 0,0,0,1,4.95,4.95,4.95,8.2,9,10.75,12.5 ]"
106223 ,  7.7 , "[ 0,0,-0.75,0,0,-0.5,1.55,-0.5,0,2.1,0,1.6,-0.5,0,2.2,2,0.5,0,0,0 ]" , "[ 0,1,0,2,0,8,2 ]" , "[ 0,-0.75,0,1.05,-0.5,7.9,0 ]" , "[ 0,-0.75,-0.75,0.3,-0.2,7.7,7.7 ]"
109025 ,  6 , "[ 0,0,0.6,-0.4,1.35,0,1.4,-1.5,-0.5,0,0.5,0,0,-0.15,0.15,0,3.25,0,0,1.3,0 ]" , "[ 0,3,9,5 ]" , "[ 0,1.55,-0.1,4.55 ]" , "[ 0,1.55,1.45,6 ]"
111111 ,  21.2 , "[ 0,0,0,0.4,0.25,0,1.35,0.5,3.7,0,0,0.4,0.7,1.3,0,0.8,0,1.55,1.65,2.4,0.85,1,0,1,-0.4,1,0.6,-0.1,-0.25,2.95,-0.75,0,0.3 ]" , "[ 0,0,0,1,3,0,3,1,5,0,0,6,1 ]" , "[ 0,0,0.4,0.25,5.55,0,2.4,0.8,7.45,1,0.6,3.45,0.3 ]" , "[ 0,0,0.4,0.65,6.2,6.2,8.6,9.4,16.85,17.85,18.45,21.9,22.2 ]"
119572 ,  24.25 , "[ 0,0,1.45,1.5,0.75,-1,0.5,-0.75,0,0.2,-0.15,0,0.9,-0.4,0.9,-1,0.4,1.5,0.85,0,0.4,0.8,2.1,-0.15,0.8,0.65,0,0,0,0.6,0.5,2.3,0,1.35,1.35,0,0.15,2.3,-0.5,0,0.5,1.8,0.5,1.3,1,0.4,0.25,0,0.3,0.6,-0.5,-0.2,0 ]" , "[ 9,15,0,1,6,3,1,2,0,0,0,4 ]" , "[ 2.65,7.75,0,0,5.5,1.8,1.8,2.3,0.65,0.25,0.3,-0.1 ]" , "[ 2.65,10.4,10.4,10.4,15.9,17.7,19.5,21.8,22.45,22.7,23,22.9 ]"
122704 ,  12.7 , "[ 0,0.8,0.85,2.2,0,0,0,-0.25,0.5,0.85,1.25,0,3.85,2.1,0.4,0.75,-0.2,1,0.1,0.25,-1,0.25,0.5,-0.75,-0.75,0 ]" , "[ 0,3,0,4,14 ]" , "[ 0.8,3.05,0,2.35,6.5 ]" , "[ 0.8,3.85,3.85,6.2,12.7 ]"
122721 ,  -1.45 , "[ 0,-0.4,0,0.5,0,0.2,0,-1,1,-0.8,-1.8,0.3,-1.65,0.25,0.5,0.5,-0.75,1.55,-1.4,-0.5,1,1.05 ]" , "[ 1,3,12,0,1 ]" , "[ -0.4,0.7,-3.3,0.5,1.05 ]" , "[ -0.4,0.3,-3,-2.5,-1.45 ]"
130123 ,  15.05 , "[ 0,1.05,1.05,0.5,1,0.85,0.75,0,-0.15,1.8,-1,0,0.25,0.65,0.75,2.5,2.6,-1,1.35,-0.5,0.75,1.25,-0.2,0.55,0.25 ]" , "[ 2,0,20 ]" , "[ 2.1,1.5,11.45 ]" , "[ 2.1,3.6,15.05 ]"
133997 ,  5.4 , "[ 0,0,0,1.7,0,0,-1.05,0.5,2.6,1.4,-1.25,-0.6,-0.25,0.75,1.35,0,-0.5,0.5,0.25,0,-0.1,-0.55,0,0,-0.6,0,1,0.25 ]" , "[ 0,0,1,6,3,3,2,0,4 ]" , "[ 0,0,1.7,2.2,1.85,0.25,-0.65,0,0.65 ]" , "[ 0,0,1.7,3.9,5.75,6,5.35,5.35,6 ]"
135614 ,  10.75 , "[ 0,0,0,0,0.85,-0.75,1.45,0.25,1.35,2.8,2.2,1.25,0.75,0,-0.4,1 ]" , "[ 0,0,0,9,2 ]" , "[ 0,0,0,10.15,0.6 ]" , "[ 0,0,0,10.15,10.75 ]"
145309 ,  21.45 , "[ 0,0,0,0,0,0,2.35,0,1.55,1.55,0,0.25,0.8,1.3,2.35,0.5,1.55,-0.25,1.85,0.6,1.4,-0.5,0.8,2.4,1.1,0,-0.2,1.55,0.5 ]" , "[ 0,0,0,0,0,1,9,3,0,2,3 ]" , "[ 0,0,0,0,0,2.35,9.85,3.85,0.3,3.5,1.85 ]" , "[ 0,0,0,0,0,2.35,12.2,16.05,16.35,19.85,21.7 ]"
151946 ,  8.9 , "[ 0,2.4,2.65,1,-0.25,0,0.75,-0.4,-0.35,0.15,0.7,0.45,0.8,1,0 ]" , "[ 14 ]" , "[ 8.9 ]" , "[ 8.9 ]"
174921 ,  15.15 , "[ 0,2,-0.65,-0.75,0,-0.15,-0.4,0.95,0,1.75,0,1,0,0.1,0.2,-1.8,0.9,0,1.05,0,2.35,0,0,0.8,1.55,0.8,1.35,0.8,-0.65,2.1,0,1.05,0,0.8 ]" , "[ 2,0,0,1,2,0,0,8,5,4,0,0 ]" , "[ 1.35,-0.75,-0.15,-0.4,1.75,1,1,2.8,4.5,2.5,0.8,0.8 ]" , "[ 1.35,0.6,0.45,0.05,1.8,2.8,3.8,6.6,11.1,13.6,14.4,15.2 ]"
179147 ,  16.2 , "[ 0,0,0,0.75,1.1,0.25,2.55,-0.45,0,3.2,0,-0.25,0.35,-0.45,2.85,0,0.25,-0.25,0.8,0.25,0.25,1,1.75,0.25,-0.5,1,0.75,0,0.75 ]" , "[ 0,0,2,14,0,5,1 ]" , "[ 0,0,1.85,8.85,1.25,3.25,0.75 ]" , "[ 0,0,1.85,10.7,11.95,15.2,15.95 ]"
196038 ,  9.15 , "[ 0,0.5,-1.25,0,1.85,0,0.3,0,-0.25,0,2.35,0,0,2,0.25,0,0,0.25,-0.75,-1.25,2.4,1.4,1.35 ]" , "[ 2,3,3,4,1,0,3 ]" , "[ -0.75,2.15,2.1,2.25,0.25,-2,5.15 ]" , "[ -0.75,1.4,3.5,5.75,6,4,9.15 ]"
217605 ,  9.9 , "[ 0,0,0,1.25,0.25,0.55,0.25,0.65,0.8,0.8,0,0,0,1.25,1.55,0,0,0.25,1.2,0.25,-0.5,0,1.35 ]" , "[ 0,5,0,0,0,0,0,2,4,0,1 ]" , "[ 0,2.3,1.45,1.6,0.8,0,0,2.8,1.7,-0.5,1.35 ]" , "[ 0,2.3,3.75,5.35,6.15,6.15,6.15,8.95,10.65,10.15,11.5 ]"
218081 ,  13.7 , "[ 0,2.25,0,1.3,0,0.3,2.75,2.1,1.95,-1.95,0.7,-1.3,0.25,-0.25,0.1,-3,2.05,0.25,0,1.25,-1.25,2.35,1.6,0,2.25 ]" , "[ 1,1,12,0,4,1 ]" , "[ 2.25,1.3,3.7,0.25,3.95,2.25 ]" , "[ 2.25,3.55,7.25,7.5,11.45,13.7 ]"
218510 ,  6.4 , "[ 0,0,0,-0.25,0.8,-1.2,-0.25,-0.5,0.75,1.3,0,0,0.6,1.45,0.75,1,-0.1,2.05 ]" , "[ 1,8,0,1,0,2 ]" , "[ 0,0.65,0.6,1.45,1.75,1.95 ]" , "[ 0,0.65,1.25,2.7,4.45,6.4 ]"
223782 ,  15.75 , "[ 0,0,1.75,0.5,1.1,0,1.25,3.2,0.75,1.3,0,1.3,2.85,0.25,0,0.5,1 ]" , "[ 0,15 ]" , "[ 0,15.75 ]" , "[ 0,15.75 ]"
