PostID, Overall_Sentiment_Score, Sentiment_Vector, Number_of_Comments_Between_Edits, Total_Scores_Between_Edits, Cummulative_Scores_Between_Edits
3071 ,  7 , "[ 0,0,0,1.3,-0.45,1,0.25,1,0,1,0.8,0,1.55,2,-1.8,-0.25,1,0.35,-0.75 ]" , "[ 0,9,7 ]" , "[ 0,4.9,2.1 ]" , "[ 0,4.9,7 ]"
6700 ,  12.15 , "[ 0,3.25,2.3,0,0,0,-0.8,0.5,0.9,-0.5,0,0.25,0.85,0,0.6,0,-0.75,0,0,0.75,0,-0.85,-0.4,0,0.25,0,0,0.1,1.65,2.55,0,0,0,1.5 ]" , "[ 2,11,1,0,4,0,0,4,0,0,1 ]" , "[ 5.55,1.8,-0.75,0,-0.5,0.25,0.25,4.3,0,0,1.5 ]" , "[ 5.55,7.35,6.6,6.6,6.1,6.35,6.6,10.9,10.9,10.9,12.4 ]"
25486 ,  4.5 , "[ 0,-0.75,-1.85,0.4,0.4,0.25,-1.2,0,-0.15,-0.0499999999999999,0.5,0.8,0.8,-0.5,0,1.1,1.35,0.75,-0.75,0,0.6,1.4,1.05,0.85,0,-0.5 ]" , "[ 2,0,2,4,1,4,6 ]" , "[ -2.6,0.8,-0.95,1.1,-0.5,2.45,3.4 ]" , "[ -2.6,-1.8,-2.75,-1.65,-2.15,0.3,3.7 ]"
34658 ,  21.35 , "[ 0,0,0,1.25,0,0,0,0,0,0.8,1.2,0,1.4,0,0.25,0.25,-0.1,0.5,-0.25,0,3.05,0.65,2.25,1.85,0,0,2.45,0.5,-1,0.45,1.55,1.1,0.8,-0.8,0.75,1,1.45 ]" , "[ 0,0,1,0,0,0,0,0,3,15,0,3,0,1 ]" , "[ 0,0,1.25,0,0,0,0,0.8,2.6,10.4,2,1.1,1.75,1.45 ]" , "[ 0,0,1.25,1.25,1.25,1.25,1.25,2.05,4.65,15.05,17.05,18.15,19.9,21.35 ]"
35314 ,  15.45 , "[ 0,0,1,0,1,0,-1,0,1,-0.75,1,0,0,0,0,-0.8,1,0,0,-0.2,0,0,0,0,0,0,0,0,-0.5,0.5,-0.5,0.3,1,0.75,-0.75,0,0,-1.1,0.6,0,0,-1,0,-1,-0.75,0.6,-0.5,0.55,1.1,0,0.5,-0.75,0.6,0,0.9,0,2.05,1.5,0.4,1.8,1.5,0.15,-0.25,1.15,2,0,0.8,-0.5,0,0,0.8,0.25,1 ]" , "[ 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,1,1,0,0 ]" , "[ 0,1,1,1,1,-1,-1,1,0.25,0.25,1,0,0,0,-0.8,0.2,1,0,-0.2,-0.2,0,0,0,0,0,0,0,-0.5,0,0,-0.2,1.3,1.75,0,-0.75,0,-1.1,-0.5,0.6,0,-1,-1,-1,-1.75,-0.15,0.1,0.05,1.65,1.1,0.5,-0.25,-0.15,0.6,2.95,3.85,3.15,0.3,0,0.8,1.25,1 ]" , "[ 0,1,2,3,4,3,2,3,3.25,3.5,4.5,4.5,4.5,4.5,3.7,3.9,4.9,4.9,4.7,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4,4,4,3.8,5.1,6.85,6.85,6.1,6.1,5,4.5,5.1,5.1,4.1,3.1,2.1,0.35,0.2,0.3,0.35,2,3.1,3.6,3.35,3.2,3.8,6.75,10.6,13.75,14.05,14.05,14.85,16.1,17.1 ]"
38578 ,  2.35 , "[ 0,0,0.75,0.75,0,-0.75,-1.5,0.8,0,0,1.55,0,0.5,0.25 ]" , "[ 0,9,2 ]" , "[ 0,1.6,0.75 ]" , "[ 0,1.6,2.35 ]"
41156 ,  12.05 , "[ 0,0,0.65,1.1,0,-2.2,2.6,0,0,0,0,-0.5,0.75,-0.5,0.8,0.8,0.6,0,1,0,-0.25,1.6,-0.2,-1.2,0.6,0.25,1.3,0,0.4,0.7,0.5,0.05,1,0,2.2 ]" , "[ 0,2,2,0,0,0,7,0,5,1,7 ]" , "[ 0,1.75,0.4,0,0,0,1.95,1,0.55,1.3,4.85 ]" , "[ 0,1.75,2.15,2.15,2.15,2.15,4.1,5.1,5.65,6.95,11.8 ]"
42918 ,  10 , "[ 0,2.7,1.5,0.8,0,0,1,0.5,0,-0.25,1.1,2.4,0,1,-1,0.5,-0.25,0,0,1,-0.25,-1.6,0.25,0,0.6 ]" , "[ 8,2,0,4,0,3,1 ]" , "[ 6.5,3.5,1,-0.75,1,-1.6,0.6 ]" , "[ 6.5,10,11,10.25,11.25,9.65,10.25 ]"
46181 ,  2.2 , "[ 0,0,0.1,0.8,0.6,-0.25,0,0.1,0,0.5,0,0,0,0.35 ]" , "[ 0,8,3 ]" , "[ 0,1.85,0.35 ]" , "[ 0,1.85,2.2 ]"
48199 ,  24.75 , "[ 0,1.9,0,1,1,1.25,1.55,0,2.4,0.25,0,1.6,0.75,0.25,1.5,0.9,0.5,0,0,1,-0.1,2.65,-1.8,-0.5,0,0,1.4,0,-0.2,1.6,0.6,0,0.5,1.05,1.9,0.25,0,1.55 ]" , "[ 1,15,0,5,1,3,6 ]" , "[ 1.9,12.95,1,0.25,1.4,2,5.25 ]" , "[ 1.9,14.85,15.85,16.1,17.5,19.5,24.75 ]"
52713 ,  13.5 , "[ 0,0.5,0,0.5,0.75,0,0.55,0,1.7,-0.25,-0.5,0,1.35,2.1,0.5,-0.25,0,1,1.1,2.9,1.55 ]" , "[ 4,1,1,1,3,0,4 ]" , "[ 1.75,0.55,1.7,-0.5,3.95,-0.25,6.55 ]" , "[ 1.75,2.3,4,3.5,7.45,7.2,13.75 ]"
